,KY,MT,ND,Portfolio,WV,WY
174,231041.23519092044,594210.8908342684,493330.8038673032,384907.89982952806,141361.10334283792,464595.46591231035
175,245487.52023318206,564565.8708062563,476261.5828754087,382162.0406177518,152772.74262645762,471722.48654745385
176,241189.62243684146,580755.6280984436,465317.68869814865,373823.46696615947,145254.29728944832,436600.09830791515
177,236057.3658137272,596946.9862578032,507508.46907077264,390999.6329766927,151598.3768144062,462886.9669267541
178,234563.5381689046,553943.1058551747,495662.8739722831,382737.16810500214,144148.38045978697,485367.9420688609
179,248270.08250571825,579532.7835409032,457504.8449642683,380650.5204038889,143968.4053289821,473976.48567957245
180,227012.76830237277,594581.762846641,472032.0894168879,381457.1740557494,156108.33326699134,457550.91644585377
181,223781.2883669515,582701.0229769037,493601.220561881,373770.33971534006,150448.53218444122,418319.6344865227
182,223693.66952815716,605158.5153685345,506091.4561722769,388359.80355543306,142086.33754884804,464769.0391593485
183,222518.28349986128,558707.334537859,492160.1776657728,379257.0476817278,151647.82251778277,471251.620187363
184,235542.1111796275,565421.8915075539,479912.84033134225,378367.7613821967,152634.96726056686,458326.99663189275
185,223220.1344894278,549368.1466150418,502805.912573472,380128.1832780241,161012.07720500766,464234.6455071708
186,239209.09133054147,569724.297366729,556071.1924535946,395102.94233998226,137352.28535657833,473157.8451924677
187,229685.20332041386,590856.1479927298,482356.697202482,393648.1133297492,157106.18664581052,508236.33148730977
188,241386.36746320175,546806.3127058294,493410.05806818546,379946.09538687905,146980.62334773602,471147.1153494425
189,240131.98176903717,578692.8432003745,472023.13819354825,389299.3816478852,154726.22036706033,500922.7247094056
190,222695.5837012794,583608.9236964511,516661.745472882,391063.6500223357,154776.5506329294,477575.4466081365
191,231079.65732665162,574627.9942424266,521110.32176769496,387017.7719453821,160850.2113001464,447420.6750899909
192,215298.29171518792,555204.4368039051,553779.0537883918,386604.68015451805,153218.27100508384,455523.3474600215
193,235670.1647730804,588302.6509159049,537735.7517086155,395480.91556877433,156137.22751450285,459558.7829317678
194,232187.49433856917,605295.3122857185,495958.9320756907,398825.26046720776,156095.70686022085,504588.8567758394
195,232138.92152000038,621911.0519029262,474415.3531569903,384361.5512093762,139593.63787479736,453748.7915921665
196,217145.1457935035,603171.0081546891,528306.4941918816,397574.39617812366,149098.6107016131,490150.72204893077
197,237856.3961018298,560022.1988185189,484532.619035124,380743.40909571084,142256.06983615668,479049.76168692455
198,217914.2579358887,573395.9671708442,478973.5320727401,385775.6270091234,150555.8292913206,508038.5485748231
199,228538.118448138,580304.0677593808,476007.29716785834,381852.00192157086,141128.18795792558,483282.33827455144
200,232661.35024676024,594087.6144344419,486656.1192583463,393527.6740097095,155979.2476167895,498254.03849220916
201,237955.19342420466,573926.9843522895,472215.9378814084,375191.76489564695,144224.92914892337,447635.7796714086
202,242499.6399036876,482679.8921340501,523057.79236953304,377381.3161981297,157221.98485546885,481447.2717279088
203,233366.6337952692,534983.7302588108,489283.8469050211,376949.48124283575,154675.1738144958,472438.0214405815
204,225950.3520692959,568318.3321300555,466090.15322289104,370936.12901774613,143867.86917820186,450453.93848828616
205,237345.61015389103,581845.4957249806,481712.5602966291,380213.918803973,148063.77260971683,452102.15523464757
206,226877.09981836771,595874.9087864509,502530.0095654917,385420.70849087264,149583.33453736812,452238.18974668474
207,232735.17901221444,540594.906668083,486407.67013618647,376001.6103032994,158739.470139426,461530.82556058693
208,242758.66362492586,518472.75267564267,502549.89526365657,378275.629404573,148842.72202560317,478754.1134330368
209,242388.9184667987,581913.082954119,501882.82045591774,386823.9886857552,153528.69577699123,454406.42577494914
210,237628.49895815528,605514.6223848487,498321.0072015352,389286.47387973045,144129.5990472136,460838.64180689916
211,228396.84257598582,601352.6389573358,505582.48111509654,391753.0266374913,164138.01992276893,459295.1506162694
212,258214.47641311298,564870.3657704276,526489.3348123739,401382.39501949935,157318.07904735496,500019.71905422723
