Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange,F(1) Consensus Sales Est. ($mil),P/E (F1)
Duluth Holdings Inc.,DLTH,105.7,NO,NSDQ,563.70001,23.61
"Dunkin' Brands Group, Inc.",DNKN,4714.79,NO,NSDQ,1283.74597,21.49
DocuSign Inc.,DOCU,19241.15,NO,NSDQ,1309.27197,197.18
BRP Inc.,DOOO,1937.14,NO,NSDQ,3127.458,20.13
"Dorman Products, Inc.",DORM,1877.43,NO,NSDQ,949.56298,20.14
Amdocs Limited,DOX,8333.01,NO,NSDQ,4190.39501,13.93
DouYu International Holdings Limited Sponsored ADR,DOYU,2359.99,NO,NSDQ,1358.41003,22.72
"Dicerna Pharmaceuticals, Inc.",DRNA,1613.47,NO,NSDQ,266.664,17.73
The Descartes Systems Group Inc.,DSGX,3319.11,NO,NSDQ,360.444,66.85
"DSP Group, Inc.",DSPG,400.15,NO,NSDQ,125,55.1
Fangdd Network Group Ltd.,DUO,801.31,NO,NSDQ,779.86999,7.2
"DXP Enterprises, Inc.",DXPE,234.01,NO,NSDQ,1102.90002,8.31
"DASAN Zhone Solutions, Inc.",DZSI,116.39,NO,NSDQ,306.27499,77.29
"Eagle Bancorp Montana, Inc.",EBMT,111.15,NO,NSDQ,70.48,8.11
"Meridian Bancorp, Inc.",EBSB,549.17,NO,NSDQ,199.38,9.7
"Echo Global Logistics, Inc.",ECHO,428.14,NO,NSDQ,2152.26806,16.3
"US Ecology, Inc.",ECOL,976.16,NO,NSDQ,962.70001,48.31
Encore Capital Group Inc,ECPG,737.33,NO,NSDQ,1414.49194,4.21
"Euronet Worldwide, Inc.",EEFT,4342.96,NO,NSDQ,2566.10302,17.04
Enterprise Financial Services Corporation,EFSC,724.9,NO,NSDQ,304.083,8.43
eGain Corporation,EGAN,249.08,NO,NSDQ,71.035,67.75
"Eagle Bancorp, Inc.",EGBN,1022.96,NO,NSDQ,342.02499,8.37
NIC Inc.,EGOV,1741.2,NO,NSDQ,385.45999,32.91
"Eagle Pharmaceuticals, Inc.",EGRX,702.83,NO,NSDQ,216.36999,20.86
EHang Holdings Limited Unsponsored ADR,EH,678.89,NO,NSDQ,103.77999,182.86
"eHealth, Inc.",EHTH,2987.22,NO,NSDQ,603.583,28.83
"Endurance International Group Holdings, Inc.",EIGI,388.43,NO,NSDQ,1097.79504,105.2
Endo International plc,ENDP,934.56,NO,NSDQ,2791.7539,1.85
"Enphase Energy, Inc.",ENPH,4672.9,NO,NSDQ,833.46801,33.15
"The Ensign Group, Inc.",ENSG,1953.44,NO,NSDQ,2390.42504,14.29
"Entegris, Inc.",ENTG,6893.22,NO,NSDQ,1660.31298,25.7
"Bottomline Technologies, Inc.",EPAY,1709.71,NO,NSDQ,451.027,29.12
"Equity Bancshares, Inc.",EQBK,260.17,NO,NSDQ,151.11999,9.33
"Eldorado Resorts, Inc.",ERI,1386.34,NO,NSDQ,7551.20703,9.72
Erie Indemnity Company,ERIE,8006,NO,NSDQ,2578.80004,26.95
"Energy Recovery, Inc.",ERII,421.74,NO,NSDQ,95.5,46.06
Elbit Systems Ltd.,ESLT,5637.02,NO,NSDQ,4905,16.69
"Esquire Financial Holdings, Inc.",ESQ,115.38,NO,NSDQ,52,7.49
"ESSA Bancorp, Inc.",ESSA,122.95,NO,NSDQ,56.56,9.9
"Etsy, Inc.",ETSY,7849.54,NO,NSDQ,971.177,170.26
"EVO Payments, Inc.",EVOP,1350.91,NO,NSDQ,464.67001,34.65
"East West Bancorp, Inc.",EWBC,4312.75,NO,NSDQ,1523.09997,9.3
"Exelixis, Inc.",EXEL,8102.08,NO,NSDQ,891.05401,63.93
"ExlService Holdings, Inc.",EXLS,1931.31,NO,NSDQ,1022.64202,16.66
"Exp World Holdings, Inc.",EXPI,555.15,NO,NSDQ,1433,846
"Exponent, Inc.",EXPO,3629.38,NO,NSDQ,391.48498,47.9
"National Vision Holdings, Inc.",EYE,2058.91,NO,NSDQ,1717.40002,275.04
"EZCORP, Inc.",EZPW,286.45,NO,NSDQ,900.02001,8.96
Farmer Brothers Company,FARM,131.3,NO,NSDQ,558.98999,33.87
"FARO Technologies, Inc.",FARO,876.49,NO,NSDQ,321.29998,1654
"First Business Financial Services, Inc.",FBIZ,125.64,NO,NSDQ,94.76699,7.84
"The First Bancshares, Inc.",FBMS,392.05,NO,NSDQ,181.35,7.5
First Bancorp,FBNC,674.39,NO,NSDQ,275.74798,9.12
First Community Corporation,FCCO,108.28,NO,NSDQ,48.95999,12.02
1st Constitution Bancorp (NJ),FCCY,106.7,NO,NSDQ,63.63,6.46
"First Cash, Inc.",FCFS,2760.46,NO,NSDQ,1856.66699,17.14
First Defiance Financial Corp.,FDEF,554.82,NO,NSDQ,267.96701,7.23
Fidus Investment Corporation,FDUS,209.38,NO,NSDQ,76.16,6.51
"Franklin Electric Co., Inc.",FELE,2267.57,NO,NSDQ,1280.32995,24.33
Adherex Technologies Inc.,FENC,150.81,NO,NSDQ,56.18999,4.13
"FireEye, Inc.",FEYE,2508.23,NO,NSDQ,915.62097,66.24
First Financial Bancorp.,FFBC,1350.99,NO,NSDQ,603.73297,10.16
Flushing Financial Corporation,FFIC,323.33,NO,NSDQ,195,9.2
"First Financial Bankshares, Inc.",FFIN,3682.13,NO,NSDQ,440.25,23.43
"First Financial Northwest, Inc.",FFNW,90.14,NO,NSDQ,46,11.58
First Foundation Inc.,FFWM,545.18,NO,NSDQ,223.48399,8.84
"First Hawaiian, Inc.",FHB,2176.86,NO,NSDQ,735.21002,14.11
"First Interstate BancSystem, Inc.",FIBK,1903.65,NO,NSDQ,636.333,11.77
"Financial Institutions, Inc.",FISI,271.73,NO,NSDQ,174.27,9.36
"Five Below, Inc.",FIVE,4502.73,NO,NSDQ,1846.67004,33.4
"Five9, Inc.",FIVN,5991.41,NO,NSDQ,380.337,115.41
National Beverage Corp.,FIZZ,2395.13,NO,NSDQ,961.65002,20.97
Flex Ltd.,FLEX,4082.34,NO,NSDQ,23408.86914,6.71
The First of Long Island Corporation,FLIC,350.47,NO,NSDQ,113.63999,8.75
Osprey Energy Acquisition Corp.,FLMN,179.66,NO,NSDQ,51.09999,8.71
"FLUENT, INC.",FLNT,130.55,NO,NSDQ,262.64001,34.4
Farmers & Merchants Bancorp Inc.,FMAO,249.31,NO,NSDQ,65.76999,14.73
"First Mid-Illinois Bancshares, Inc.",FMBH,402.28,NO,NSDQ,177.49699,9.76
"First Midwest Bancorp, Inc.",FMBI,1445.45,NO,NSDQ,740.07501,9.25
Farmers National Banc Corp.,FMNB,313.47,NO,NSDQ,121.37999,10.39
FEDNAT HOLDING CO,FNHC,159.95,NO,NSDQ,486.70999,7.43
"Finjan Holdings, Inc.",FNJN,34.27,NO,NSDQ,61,2.03
"Funko, Inc.",FNKO,173.6,NO,NSDQ,753.78002,5.21
Focus Financial Partners Inc.,FOCS,1384.36,NO,NSDQ,1320.84204,7.81
"FormFactor, Inc.",FORM,1720.94,NO,NSDQ,590.65002,23.42
"Forrester Research, Inc.",FORR,619.39,NO,NSDQ,483.05999,20.38
Fox Factory Holding Corp.,FOXF,1668.81,NO,NSDQ,752.99798,18.93
First Bank,FRBA,131.32,NO,NSDQ,69.59999,7.53
"Fiesta Restaurant Group, Inc.",FRGI,154,NO,NSDQ,653.16998,11.74
First Merchants Corporation,FRME,1422.56,NO,NSDQ,475.733,10.08
"Freshpet, Inc.",FRPT,3054.15,NO,NSDQ,310.087,209.04
FORTERRA INC,FRTA,437.76,NO,NSDQ,1602,9.78
"FS Bancorp, Inc.",FSBW,158.13,NO,NSDQ,94.735,7.34
"First Solar, Inc.",FSLR,4324.3,NO,NSDQ,2807.96997,13.97
L.B. Foster Company,FSTR,135.12,NO,NSDQ,667.61999,6.31
FirstService Corporation,FSV,3386.09,NO,NSDQ,2731.6499,26.05
"Frontdoor, Inc.",FTDR,3058.98,NO,NSDQ,1432.90405,21.26
